tissue	sqtl_class	n_donors	n_pairs	spearman_rho	t	df	exact_two_sided_P	ci95_low	ci95_high
Skin-NotSunExposed_Suprapubic	u-sQTL (unproductive intron)	517	1429	-0.1464319834664482	-5.591839763560036	1427	2.688591887832181e-08	-0.19706033182745128	-0.09502470609928838
Skin-SunExposed_Lowerleg	p-sQTL (productive intron)	605	5327	-0.0089040767472254	-0.6497793680486191	5325	0.5158627759958769	-0.035751027422848074	0.01795571646917758
Skin-SunExposed_Lowerleg	u-sQTL (unproductive intron)	605	1574	-0.1187191054999225	-4.740554911507525	1572	2.323998001596448e-06	-0.16731673618847265	-0.0695459576097104
SmallIntestine-TerminalIleum	p-sQTL (productive intron)	174	1970	-0.0167566714909392	-0.7434662923905024	1968	0.4572881671021207	-0.06087819581992375	0.02743020855123854
SmallIntestine-TerminalIleum	u-sQTL (unproductive intron)	174	577	-0.0581098335032027	-1.3957834572457093	575	0.163318426100801	-0.1391431684853278	0.02369653700166198
Spleen	p-sQTL (productive intron)	227	2628	0.014835830518624	0.7603385741516837	2626	0.4471204892228259	-0.02341548484007398	0.05304377107964188
Spleen	u-sQTL (unproductive intron)	227	807	0.0089601733073221	0.2542329192654616	805	0.7993805447594887	-0.06009108891004051	0.07792608869354443
Stomach	p-sQTL (productive intron)	324	2752	0.0051178854691224	0.2683876931259669	2750	0.788421042131114	-0.032252967911807165	0.04247444886199484
Stomach	u-sQTL (unproductive intron)	324	841	-0.1474505045446894	-4.318177218737559	839	1.7612258927208264e-05	-0.21328091792523066	-0.08028724181733733
Testis	p-sQTL (productive intron)	322	5571	0.0053323879343964	0.39793901493440853	5569	0.6906903934041603	-0.020930965225575908	0.03158838676967864
Testis	u-sQTL (unproductive intron)	322	1852	-0.1469759362501134	-6.391080752506331	1850	2.079361012531834e-10	-0.19148115197736013	-0.10186756585921661
Thyroid	p-sQTL (productive intron)	574	5870	-0.0137829829702309	-1.05591638167679	5868	0.291049889379797	-0.039352955750753905	0.011805029229086928
Thyroid	u-sQTL (unproductive intron)	574	1796	-0.0782969367466257	-3.3265288128034016	1794	0.0008971044844028	-0.12417114832896786	-0.032088735489407036
Uterus	p-sQTL (productive intron)	129	1580	0.0081567737519459	0.32403085266966936	1578	0.7459576183347495	-0.04117569594942376	0.05744957058269703
Uterus	u-sQTL (unproductive intron)	129	465	-0.1260867845011883	-2.734890738753553	463	0.0064795412552826	-0.21490562936672025	-0.03519937915937499
Vagina	p-sQTL (productive intron)	141	1514	0.0034475597865857	0.13405724279706163	1512	0.893375150523176	-0.046939567695533056	0.053817187379293877
Vagina	u-sQTL (unproductive intron)	141	467	-0.1298431137930049	-2.8238234866263885	465	0.0049492342029201	-0.2183777732434864	-0.03918845032364269
WholeBlood	p-sQTL (productive intron)	670	3510	-0.0066292934497265	-0.39265088386559166	3508	0.694601208109721	-0.03970522745320571	0.026461152680577756
WholeBlood	u-sQTL (unproductive intron)	670	1030	-0.069436255519114	-2.231682122059124	1028	0.0258508936686234	-0.13004064870018453	-0.008314955896620199
