clu	intron_length	meanUnprod	intron_length_bin
clu_103044	662	0.138597050938338	<1kb
clu_103045	1120	0.0611350134048257	1-5kb
clu_103046	2825	0.010641528150134	1-5kb
clu_103050	254	0.0160605361930295	<1kb
clu_103051	5319	0.144799195710456	5-20kb
clu_103052	1381	0.354410321715818	1-5kb
clu_103055	7238	0.0168559785522788	5-20kb
clu_103056	40196	0.0493461394101877	20-50kb
clu_103060	3545	0.00301477211796247	1-5kb
clu_103061	45887	0.0212871313672922	20-50kb
clu_103064	1140	0.2657781769437	1-5kb
clu_103065	228	0.00621576407506702	<1kb
clu_10307	3748	0.0514050938337802	1-5kb
clu_103072	139	0.00584957104557641	<1kb
clu_103073	1309	0.00483584450402145	1-5kb
