Gene_name	medUPratio	meanrpkm	rpkm_bin
CCDC150	0.13953	0.0688683455079207	Q1 - lowly expressed
CCDC159	0.00279	1.62516354560908	Q4
CCDC163	0.21429	0.411897150738574	Q2
CCDC167	0.00295	3.59891401596222	Q4
CCDC17	0.14286	0.0863527834791353	Q1 - lowly expressed
CCDC171	0.01613	0.0118725645425945	Q1 - lowly expressed
CCDC174	0.00311	1.18100781005446	Q3
CCDC18	0.02749	0.384656394455197	Q2
CCDC191	0.01923	0.0497779455215947	Q1 - lowly expressed
CCDC198	0.1	0.446034379034668	Q2
CCDC200	0.99999	0.00132756874495482	Q1 - lowly expressed
CCDC24	0.06667	0.302512181490007	Q2
CCDC32	0.00397	0.637556201571104	Q3
CCDC34	0.00922	0.619147211422297	Q3
CCDC50	0.00267	3.21035631863334	Q4
CCDC57	0.5618	0.0778907417180407	Q1 - lowly expressed
CCDC59	0.02988	0.216557192648514	Q2
CCDC66	0.08654	0.154621271396469	Q1 - lowly expressed
CCDC69	0.01585	1.75579698398001	Q4
CCDC7	0.06522	0.00790820946273087	Q1 - lowly expressed
CCDC77	0.0127	0.332593945329656	Q2
CCDC78	0.07895	1.66988807666261	Q4
CCDC88A	0.00264	0.496731423252082	Q2
CCDC88B	0.00601	4.88897666302645	Q5 - highly expressed
CCDC88C	0.0218	0.394968300727674	Q2
CCDC90B	0.06222	2.57021432215805	Q4
CCDC91	0.00935	0.0556810740715665	Q1 - lowly expressed
CCDC93	0.00856	0.345466321955585	Q2
CCDC97	0.00585	0.703418993493799	Q3
CCHCR1	0.00731	2.91848588764517	Q4
CCL22	0.00051	13.8814923028568	Q5 - highly expressed
CCL28	0.01786	0.100271651674346	Q1 - lowly expressed
CCL3	0.00442	88.2380620081569	Q5 - highly expressed
CCL3L1	0.01456	16.7778499444137	Q5 - highly expressed
CCM2	0.01083	1.49019736155532	Q4
CCNA2	0.00102	14.5839666061742	Q5 - highly expressed
CCNB1	0.00049	15.8082654469425	Q5 - highly expressed
CCNB1IP1	0.02538	2.31633662238093	Q4
CCNC	0.00191	5.11971596724077	Q5 - highly expressed
CCND2	0.00726	2.74296315343191	Q4
CCNDBP1	0.01592	7.06145871274409	Q5 - highly expressed
CCNF	0.00219	1.48368331718568	Q4
CCNG1	0.01271	18.1516548837723	Q5 - highly expressed
CCNH	0.00402	0.545116921305868	Q2
CCNI	0.00495	5.54419022828113	Q5 - highly expressed
CCNI2	0.05882	2.32056719558437	Q4
CCNK	0.00165	1.9517218533364	Q4
CCNL1	0.03533	4.78463885176287	Q5 - highly expressed
CCNL2	0.03565	4.08977592502677	Q4
CCNT2	0.07353	0.277863112777147	Q2
CCNY	0.00565	0.191359006839284	Q1 - lowly expressed
CCP110	0.00355	1.05128647427081	Q3
CCS	0.01063	2.83844563814398	Q4
CCT2	0.00039	34.1082908630307	Q5 - highly expressed
CCT4	0.00566	25.8515345672781	Q5 - highly expressed
CCT5	0.00028	24.715700069744	Q5 - highly expressed
CCT6A	0.00078	47.5531659794139	Q5 - highly expressed
CCT7	0.00066	31.1303390269422	Q5 - highly expressed
CCT8	0.00041	55.9764158208227	Q5 - highly expressed
CCZ1	0.00169	2.57344902074128	Q4
